Algorithm,KeySize,KeyGenerationTime(us),EncryptionTime(us),DecryptionTime(us),CiphertextSize(bytes),AttackResult
RSA,2048,80244,44,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1303,12356,6406,5474,QUANTUM_SAFE
RSA,2048,116273,44,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4391,9693,9190,5474,QUANTUM_SAFE
RSA,2048,81461,44,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4220,11190,9396,5471,QUANTUM_SAFE
RSA,2048,41579,45,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4174,4654,4201,5473,QUANTUM_SAFE
RSA,2048,100601,103,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1655,13959,4282,5470,QUANTUM_SAFE
RSA,2048,76013,45,956,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6934,15492,9235,5473,QUANTUM_SAFE
RSA,2048,118967,45,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2395,17729,5128,5469,QUANTUM_SAFE
RSA,2048,87481,41,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2507,11404,4094,5475,QUANTUM_SAFE
RSA,2048,175975,44,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7695,12757,9630,5473,QUANTUM_SAFE
RSA,2048,171560,44,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2325,4811,6931,5472,QUANTUM_SAFE
RSA,2048,105459,41,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5192,8230,5448,5469,QUANTUM_SAFE
RSA,2048,58192,96,1848,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4234,9539,8568,5469,QUANTUM_SAFE
RSA,2048,35670,38,955,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7394,11511,6486,5469,QUANTUM_SAFE
RSA,2048,46898,44,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2299,14422,7661,5471,QUANTUM_SAFE
RSA,2048,72137,44,953,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6045,16160,5145,5468,QUANTUM_SAFE
RSA,2048,48258,45,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2606,4273,8596,5469,QUANTUM_SAFE
RSA,2048,79157,44,959,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6802,5808,6012,5473,QUANTUM_SAFE
RSA,2048,113639,44,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3607,13890,6749,5475,QUANTUM_SAFE
RSA,2048,93807,44,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5710,13871,4141,5469,QUANTUM_SAFE
RSA,2048,65063,45,995,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3658,9372,7558,5471,QUANTUM_SAFE
RSA,2048,137766,44,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6499,14551,6506,5471,QUANTUM_SAFE
RSA,2048,86354,45,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3371,12712,4162,5470,QUANTUM_SAFE
RSA,2048,78156,57,1873,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3173,8796,7150,5469,QUANTUM_SAFE
RSA,2048,121821,44,1095,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3537,15773,9671,5469,QUANTUM_SAFE
RSA,2048,55380,44,961,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4372,10380,6475,5475,QUANTUM_SAFE
RSA,2048,79879,48,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1357,12245,4628,5473,QUANTUM_SAFE
RSA,2048,96735,40,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7520,8370,8898,5470,QUANTUM_SAFE
RSA,2048,49346,45,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3760,11552,6085,5472,QUANTUM_SAFE
RSA,2048,37073,40,955,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4794,9122,6613,5469,QUANTUM_SAFE
RSA,2048,106515,37,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5676,16796,9685,5471,QUANTUM_SAFE
RSA,2048,115860,44,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4675,13902,5124,5473,QUANTUM_SAFE
RSA,2048,87980,46,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1419,10168,4256,5473,QUANTUM_SAFE
RSA,2048,177599,45,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6732,14520,9004,5469,QUANTUM_SAFE
RSA,2048,28986,42,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1880,9418,7523,5468,QUANTUM_SAFE
RSA,2048,75691,44,1025,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2075,4950,4930,5474,QUANTUM_SAFE
RSA,2048,60169,44,957,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3590,14806,4395,5475,QUANTUM_SAFE
RSA,2048,61478,44,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3698,6627,8124,5474,QUANTUM_SAFE
RSA,2048,155515,44,953,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3978,12812,4612,5468,QUANTUM_SAFE
RSA,2048,43679,44,957,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2258,4197,8543,5475,QUANTUM_SAFE
RSA,2048,93617,45,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6641,13310,6615,5468,QUANTUM_SAFE
RSA,2048,46117,37,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7520,4574,5063,5471,QUANTUM_SAFE
RSA,2048,55312,40,993,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3615,8408,8424,5469,QUANTUM_SAFE
RSA,2048,90785,39,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2080,7182,4922,5472,QUANTUM_SAFE
RSA,2048,28204,45,1054,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6556,11253,6625,5470,QUANTUM_SAFE
RSA,2048,96700,44,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7127,15726,7158,5471,QUANTUM_SAFE
RSA,2048,74432,45,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3417,8351,6184,5468,QUANTUM_SAFE
RSA,2048,117696,45,1000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6879,8615,4797,5474,QUANTUM_SAFE
RSA,2048,37052,45,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4296,13808,9495,5473,QUANTUM_SAFE
RSA,2048,57384,40,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1591,13655,8784,5475,QUANTUM_SAFE
RSA,2048,103418,44,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4912,10089,9568,5475,QUANTUM_SAFE
RSA,2048,120617,44,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5432,5740,9983,5473,QUANTUM_SAFE
RSA,2048,93600,44,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4418,12055,6914,5471,QUANTUM_SAFE
RSA,2048,43101,45,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6328,5219,5115,5471,QUANTUM_SAFE
RSA,2048,106616,44,1703,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6597,13579,8178,5473,QUANTUM_SAFE
RSA,2048,46755,47,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2430,4999,9744,5470,QUANTUM_SAFE
RSA,2048,37202,37,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2006,6893,4168,5471,QUANTUM_SAFE
RSA,2048,154284,39,961,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5796,16567,5414,5469,QUANTUM_SAFE
RSA,2048,70773,41,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2659,4399,9386,5471,QUANTUM_SAFE
RSA,2048,79323,87,1613,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4644,8732,5472,5475,QUANTUM_SAFE
RSA,2048,45971,47,1000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4262,7813,6881,5471,QUANTUM_SAFE
RSA,2048,77387,44,953,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4910,9555,8132,5470,QUANTUM_SAFE
RSA,2048,137673,44,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4981,17147,4012,5474,QUANTUM_SAFE
RSA,2048,156673,45,1006,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3164,9519,5437,5474,QUANTUM_SAFE
RSA,2048,65050,44,954,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6494,11231,5255,5473,QUANTUM_SAFE
RSA,2048,61154,44,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1302,15691,7636,5470,QUANTUM_SAFE
RSA,2048,26733,39,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4855,7538,9959,5471,QUANTUM_SAFE
RSA,2048,96790,44,993,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4346,15223,7544,5475,QUANTUM_SAFE
RSA,2048,121770,45,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7320,6250,4791,5470,QUANTUM_SAFE
RSA,2048,19504,44,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5106,17486,7384,5474,QUANTUM_SAFE
RSA,2048,37647,45,961,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7225,10858,4936,5471,QUANTUM_SAFE
RSA,2048,136480,44,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5515,17448,5204,5472,QUANTUM_SAFE
RSA,2048,87045,41,991,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2402,14794,4110,5470,QUANTUM_SAFE
RSA,2048,76499,40,2906,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5677,10831,5092,5469,QUANTUM_SAFE
RSA,2048,162946,44,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2192,12451,8993,5469,QUANTUM_SAFE
RSA,2048,77094,44,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5751,10593,6808,5470,QUANTUM_SAFE
RSA,2048,60658,54,1132,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5779,11034,7233,5473,QUANTUM_SAFE
RSA,2048,104621,43,979,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7878,4953,5259,5472,QUANTUM_SAFE
RSA,2048,41514,41,953,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3025,17315,7477,5471,QUANTUM_SAFE
RSA,2048,66427,45,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5124,9002,5606,5472,QUANTUM_SAFE
RSA,2048,36966,44,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1472,14647,4795,5473,QUANTUM_SAFE
RSA,2048,27538,37,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6598,15159,5194,5470,QUANTUM_SAFE
RSA,2048,71330,45,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5168,15580,7017,5472,QUANTUM_SAFE
RSA,2048,28455,45,1010,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5963,6826,7508,5469,QUANTUM_SAFE
RSA,2048,25225,41,957,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5792,14237,6830,5472,QUANTUM_SAFE
RSA,2048,46810,46,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4662,14607,8199,5475,QUANTUM_SAFE
RSA,2048,126447,49,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5134,5103,9735,5469,QUANTUM_SAFE
RSA,2048,50916,101,1305,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1972,6412,6015,5474,QUANTUM_SAFE
RSA,2048,60093,44,950,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1767,16793,4693,5470,QUANTUM_SAFE
RSA,2048,101774,44,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1704,5106,6438,5468,QUANTUM_SAFE
RSA,2048,146161,113,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6336,7773,5201,5470,QUANTUM_SAFE
RSA,2048,109618,45,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3864,4463,6447,5471,QUANTUM_SAFE
RSA,2048,68926,44,1037,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4560,5131,4098,5469,QUANTUM_SAFE
RSA,2048,257780,41,959,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3665,14137,8130,5468,QUANTUM_SAFE
RSA,2048,64781,47,1031,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7771,11177,7391,5473,QUANTUM_SAFE
RSA,2048,19866,45,1009,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6434,5593,8908,5474,QUANTUM_SAFE
RSA,2048,129315,43,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6884,13160,4333,5472,QUANTUM_SAFE
RSA,2048,45179,45,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2108,12349,8676,5474,QUANTUM_SAFE
RSA,2048,57388,45,957,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2438,5775,5075,5471,QUANTUM_SAFE
RSA,2048,54218,45,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2709,9766,5592,5472,QUANTUM_SAFE
RSA,2048,35512,45,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6310,8019,6452,5469,QUANTUM_SAFE
RSA,2048,62467,37,1059,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6853,11007,5268,5469,QUANTUM_SAFE
RSA,2048,123714,45,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1012,4811,6193,5469,QUANTUM_SAFE
RSA,2048,96328,39,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7340,4060,8754,5471,QUANTUM_SAFE
RSA,2048,67550,45,1110,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2702,16176,9202,5474,QUANTUM_SAFE
RSA,2048,70599,38,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7396,13331,4941,5473,QUANTUM_SAFE
RSA,2048,92205,45,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3639,14925,5804,5474,QUANTUM_SAFE
RSA,2048,59917,45,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1470,17149,4847,5471,QUANTUM_SAFE
RSA,2048,59684,45,950,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2736,15017,8921,5472,QUANTUM_SAFE
RSA,2048,66131,47,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7166,5687,4645,5474,QUANTUM_SAFE
RSA,2048,85070,48,1129,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3967,6374,5023,5469,QUANTUM_SAFE
RSA,2048,257972,43,1077,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4959,15485,8112,5475,QUANTUM_SAFE
RSA,2048,125025,44,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4217,12306,5555,5471,QUANTUM_SAFE
RSA,2048,189288,38,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6098,5779,5424,5474,QUANTUM_SAFE
RSA,2048,54415,44,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4276,13528,8965,5474,QUANTUM_SAFE
RSA,2048,75757,45,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4941,14962,7798,5471,QUANTUM_SAFE
RSA,2048,70338,46,1020,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4409,8052,4609,5471,QUANTUM_SAFE
RSA,2048,77273,40,1013,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2096,7628,4006,5469,QUANTUM_SAFE
RSA,2048,118496,44,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4700,13785,7118,5471,QUANTUM_SAFE
RSA,2048,70055,44,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1804,14324,7208,5472,QUANTUM_SAFE
RSA,2048,48956,44,961,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4888,16578,5353,5473,QUANTUM_SAFE
RSA,2048,40159,41,1148,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7205,15760,5813,5471,QUANTUM_SAFE
RSA,2048,64509,44,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1189,5505,7514,5471,QUANTUM_SAFE
RSA,2048,171446,44,1017,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5556,5585,4770,5475,QUANTUM_SAFE
RSA,2048,105570,54,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7666,8059,5440,5473,QUANTUM_SAFE
RSA,2048,316137,43,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5040,14879,5839,5475,QUANTUM_SAFE
RSA,2048,112278,47,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6995,11873,7296,5471,QUANTUM_SAFE
RSA,2048,200192,50,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4451,12910,6780,5469,QUANTUM_SAFE
RSA,2048,127103,44,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5827,10831,8540,5475,QUANTUM_SAFE
RSA,2048,34150,60,993,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1208,15906,9234,5473,QUANTUM_SAFE
RSA,2048,172567,44,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1175,10627,8113,5471,QUANTUM_SAFE
RSA,2048,47634,45,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4905,13145,4033,5473,QUANTUM_SAFE
RSA,2048,46254,44,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2157,4170,7927,5472,QUANTUM_SAFE
RSA,2048,58822,41,1259,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5502,7300,9143,5471,QUANTUM_SAFE
RSA,2048,171179,48,1052,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2287,17734,8762,5471,QUANTUM_SAFE
RSA,2048,67812,46,955,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5453,9069,8626,5473,QUANTUM_SAFE
RSA,2048,34923,44,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3987,10091,7890,5471,QUANTUM_SAFE
RSA,2048,27172,44,1036,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1546,13601,4301,5469,QUANTUM_SAFE
RSA,2048,97147,38,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3615,16206,7224,5471,QUANTUM_SAFE
RSA,2048,77863,41,1126,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3573,5218,7901,5468,QUANTUM_SAFE
RSA,2048,108110,58,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5227,14758,5934,5471,QUANTUM_SAFE
RSA,2048,92706,42,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4136,9645,7112,5468,QUANTUM_SAFE
RSA,2048,174444,45,1015,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4094,9430,7227,5472,QUANTUM_SAFE
RSA,2048,110938,44,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3922,5103,7838,5468,QUANTUM_SAFE
RSA,2048,103022,44,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5583,7158,4484,5474,QUANTUM_SAFE
RSA,2048,83059,58,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4495,4556,5554,5475,QUANTUM_SAFE
RSA,2048,46486,40,957,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7894,14935,6875,5470,QUANTUM_SAFE
RSA,2048,246745,46,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5622,4356,7974,5468,QUANTUM_SAFE
RSA,2048,28256,44,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6896,15259,9852,5469,QUANTUM_SAFE
RSA,2048,45445,44,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7829,15896,4131,5469,QUANTUM_SAFE
RSA,2048,46530,76,1876,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5108,8953,7308,5472,QUANTUM_SAFE
RSA,2048,42154,44,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7555,9736,5764,5474,QUANTUM_SAFE
RSA,2048,94983,44,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2435,16921,8937,5471,QUANTUM_SAFE
RSA,2048,103568,42,957,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2855,11366,6424,5473,QUANTUM_SAFE
RSA,2048,92076,44,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3046,16689,4293,5471,QUANTUM_SAFE
RSA,2048,117937,47,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7314,7889,8841,5470,QUANTUM_SAFE
RSA,2048,79313,45,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4526,15141,9152,5471,QUANTUM_SAFE
RSA,2048,127571,44,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2344,15573,5298,5470,QUANTUM_SAFE
RSA,2048,93320,44,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2090,13731,5965,5469,QUANTUM_SAFE
RSA,2048,61359,56,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7457,16565,9511,5475,QUANTUM_SAFE
RSA,2048,40868,44,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7607,12151,5690,5468,QUANTUM_SAFE
RSA,2048,64716,45,955,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2606,16775,4140,5469,QUANTUM_SAFE
RSA,2048,68878,45,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6919,16852,4483,5471,QUANTUM_SAFE
RSA,2048,79866,45,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3488,13917,4043,5472,QUANTUM_SAFE
RSA,2048,20223,48,1006,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2166,16417,5957,5472,QUANTUM_SAFE
RSA,2048,71619,65,1107,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4783,4954,7367,5475,QUANTUM_SAFE
RSA,2048,87274,72,1022,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5023,5935,7660,5471,QUANTUM_SAFE
RSA,2048,95212,39,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1275,6849,8958,5468,QUANTUM_SAFE
RSA,2048,199213,44,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7929,12118,8499,5473,QUANTUM_SAFE
RSA,2048,100935,44,995,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6066,17621,9282,5471,QUANTUM_SAFE
RSA,2048,43498,45,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1646,10522,4468,5475,QUANTUM_SAFE
RSA,2048,78786,53,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4648,7185,5021,5469,QUANTUM_SAFE
RSA,2048,116976,44,955,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2506,12154,4439,5475,QUANTUM_SAFE
RSA,2048,66416,44,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1820,14078,7954,5468,QUANTUM_SAFE
RSA,2048,121852,45,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4682,6301,7650,5471,QUANTUM_SAFE
RSA,2048,92234,43,1101,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3930,4496,5778,5471,QUANTUM_SAFE
RSA,2048,96159,76,1559,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6347,16511,4862,5474,QUANTUM_SAFE
RSA,2048,74529,44,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7980,17519,8637,5469,QUANTUM_SAFE
RSA,2048,114602,45,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6702,5349,6382,5475,QUANTUM_SAFE
RSA,2048,102644,49,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7191,10531,9775,5473,QUANTUM_SAFE
RSA,2048,73169,89,1009,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1541,13692,8889,5470,QUANTUM_SAFE
RSA,2048,79633,40,956,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6802,13455,7754,5468,QUANTUM_SAFE
RSA,2048,86189,44,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7765,6947,8497,5468,QUANTUM_SAFE
RSA,2048,35488,41,954,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2359,8664,9621,5470,QUANTUM_SAFE
RSA,2048,65757,40,1050,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4969,15420,5989,5473,QUANTUM_SAFE
RSA,2048,47683,44,958,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2006,17016,4767,5469,QUANTUM_SAFE
RSA,2048,70171,45,1054,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7181,13053,7508,5475,QUANTUM_SAFE
RSA,2048,114370,43,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5752,10209,7470,5468,QUANTUM_SAFE
RSA,2048,131731,58,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2857,15340,7792,5469,QUANTUM_SAFE
RSA,2048,44068,44,1032,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5349,14750,6177,5474,QUANTUM_SAFE
RSA,2048,66946,44,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1749,17942,5977,5472,QUANTUM_SAFE
RSA,2048,31661,46,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2576,13566,5621,5469,QUANTUM_SAFE
RSA,2048,80387,45,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3454,9755,9150,5473,QUANTUM_SAFE
RSA,2048,115248,42,956,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4579,9867,4404,5470,QUANTUM_SAFE
RSA,2048,205921,38,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4644,11512,8924,5473,QUANTUM_SAFE
RSA,2048,163253,47,1076,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2700,12498,6442,5469,QUANTUM_SAFE
RSA,2048,58149,44,960,256,BROKEN_UNDER_QUANTUM_ATTACK
